Col1,Col2
-4.90334,14.067
-4.90265,15.0159
-4.90197,15.8232
-4.90128,16.4814
-4.90059,16.9867
-4.8999,17.3387
-4.89921,17.5401
-4.89852,17.5969
-4.89783,17.5173
-4.89714,17.3118
-4.89645,16.9927
-4.89576,16.5732
-4.89508,16.0675
-4.89439,15.4899
-4.8937,14.8545
-4.89301,14.175
-4.89232,13.4639
-4.89163,12.7328
-4.89094,11.9918
-4.89025,11.2494
-4.88956,10.5127
-4.88888,9.78713
-4.88819,9.07691
-4.8875,8.38475
-4.88681,7.71247
-4.88612,7.06096
-4.88543,6.43073
-4.88474,5.82189
-4.88405,5.23471
-4.88336,4.66969
-4.88267,4.12798
-4.88199,3.61146
-4.8813,3.12296
-4.88061,2.66626
-4.87992,2.24623
-4.87923,1.86879
-4.87854,1.54063
-4.87785,1.26937
-4.87716,1.063
-4.87647,0.929736
-4.87578,0.877762
-4.8751,0.914806
-4.87441,1.04774
-4.87372,1.28234
-4.87303,1.62274
-4.87234,2.07133
-4.87165,2.62831
-4.87096,3.29152
-4.87027,4.05629
-4.86958,4.91534
-4.8689,5.85874
-4.86821,6.87413
-4.86752,7.94665
-4.86683,9.05942
-4.86614,10.1938
-4.86545,11.3296
-4.86476,12.4459
-4.86407,13.5212
-4.86338,14.5342
-4.86269,15.4643
-4.86201,16.2919
-4.86132,16.9994
-4.86063,17.5712
-4.85994,17.9945
-4.85925,18.2594
-4.85856,18.3594
-4.85787,18.2917
-4.85718,18.0568
-4.85649,17.659
-4.85581,17.1063
-4.85512,16.4099
-4.85443,15.584
-4.85374,14.6456
-4.85305,13.614
-4.85236,12.5102
-4.85167,11.3563
-4.85098,10.1751
-4.85029,8.98946
-4.8496,7.82164
-4.84892,6.69275
-4.84823,5.62233
-4.84754,4.62779
-4.84685,3.72412
-4.84616,2.92349
-4.84547,2.23512
-4.84478,1.66507
-4.84409,1.21632
-4.8434,0.888733
-4.84272,0.679291
-4.84203,0.582325
-4.84134,0.58978
-4.84065,0.691639
-4.83996,0.876347
-4.83927,1.1312
-4.83858,1.4429
-4.83789,1.798
-4.8372,2.18326
-4.83651,2.58616
-4.83583,2.99526
-4.83514,3.40043
-4.83445,3.79323
-4.83376,4.16696
-4.83307,4.51682
-4.83238,4.83987
-4.83169,5.13506
-4.831,5.403
-4.83031,5.64587
-4.82963,5.86707
-4.82894,6.07102
-4.82825,6.26278
-4.82756,6.44775
-4.82687,6.63132
-4.82618,6.81857
-4.82549,7.01394
-4.8248,7.22098
-4.82411,7.44216
-4.82342,7.67869
-4.82274,7.93042
-4.82205,8.19586
-4.82136,8.47208
-4.82067,8.75504
-4.81998,9.0395
-4.81929,9.3194
-4.8186,9.58804
-4.81791,9.83837
-4.81722,10.0633
-4.81653,10.2561
-4.81585,10.4104
-4.81516,10.5209
-4.81447,10.5833
-4.81378,10.5949
-4.81309,10.5539
-4.8124,10.4608
-4.81171,10.3173
-4.81102,10.1268
-4.81033,9.89428
-4.80965,9.62604
-4.80896,9.32959
-4.80827,9.01335
-4.80758,8.6863
-4.80689,8.35781
-4.8062,8.03715
-4.80551,7.73325
-4.80482,7.45436
-4.80413,7.2077
-4.80344,6.9993
-4.80276,6.83369
-4.80207,6.71387
-4.80138,6.64111
-4.80069,6.61498
-4.8,6.6334
-4.79931,6.69281
-4.79862,6.78829
-4.79793,6.91379
-4.79724,7.06253
-4.79656,7.22726
-4.79587,7.40055
-4.79518,7.57527
-4.79449,7.74487
-4.7938,7.90372
-4.79311,8.04745
-4.79242,8.17313
-4.79173,8.27953
-4.79104,8.36715
-4.79035,8.4383
-4.78967,8.49708
-4.78898,8.54919
-4.78829,8.6018
-4.7876,8.66319
-4.78691,8.74241
-4.78622,8.84897
-4.78553,8.99222
-4.78484,9.18109
-4.78415,9.42348
-4.78347,9.72581
-4.78278,10.0927
-4.78209,10.5264
-4.7814,11.0266
-4.78071,11.5905
-4.78002,12.2119
-4.77933,12.8819
-4.77864,13.5888
-4.77795,14.318
-4.77726,15.0527
-4.77658,15.7739
-4.77589,16.4614
-4.7752,17.0938
-4.77451,17.6495
-4.77382,18.1075
-4.77313,18.4477
-4.77244,18.652
-4.77175,18.7046
-4.77106,18.593
-4.77037,18.3084
-4.76969,17.8462
-4.769,17.2063
-4.76831,16.3933
-4.76762,15.4167
-4.76693,14.2909
-4.76624,13.0349
-4.76555,11.6718
-4.76486,10.2286
-4.76417,8.73547
-4.76349,7.22509
-4.7628,5.73163
-4.76211,4.29005
-4.76142,2.93508
-4.76073,1.70036
-4.76004,0.617414
-4.75935,-0.285235
-4.75866,-0.982835
-4.75797,-1.45518
-4.75728,-1.68723
-4.7566,-1.6696
-4.75591,-1.39884
-4.75522,-0.877616
-4.75453,-0.114747
-4.75384,0.875059
-4.75315,2.07143
-4.75246,3.44897
-4.75177,4.97785
-4.75108,6.6245
-4.7504,8.35258
-4.74971,10.1239
-4.74902,11.8994
-4.74833,13.6402
-4.74764,15.3086
-4.74695,16.8688
-4.74626,18.2882
-4.74557,19.5381
-4.74488,20.5941
-4.74419,21.4369
-4.74351,22.0526
-4.74282,22.433
-4.74213,22.5758
-4.74144,22.4841
-4.74075,22.1666
-4.74006,21.6372
-4.73937,20.9139
-4.73868,20.019
-4.73799,18.9779
-4.73731,17.8182
-4.73662,16.5694
-4.73593,15.2614
-4.73524,13.9243
-4.73455,12.5873
-4.73386,11.2777
-4.73317,10.021
-4.73248,8.83963
-4.73179,7.75283
-4.7311,6.77634
-4.73042,5.92215
-4.72973,5.19847
-4.72904,4.60977
-4.72835,4.1569
-4.72766,3.83748
-4.72697,3.64615
-4.72628,3.57506
-4.72559,3.61435
-4.7249,3.75254
-4.72422,3.97728
-4.72353,4.27567
-4.72284,4.63481
-4.72215,5.04221
-4.72146,5.48619
-4.72077,5.95618
-4.72008,6.44294
-4.71939,6.93868
-4.7187,7.43714
-4.71801,7.93356
-4.71733,8.42459
-4.71664,8.90806
-4.71595,9.38282
-4.71526,9.84848
-4.71457,10.3051
-4.71388,10.7528
-4.71319,11.1916
-4.7125,11.6213
-4.71181,12.0407
-4.71112,12.4481
-4.71044,12.8407
-4.70975,13.2147
-4.70906,13.5654
-4.70837,13.8871
-4.70768,14.1734
-4.70699,14.4173
-4.7063,14.6117
-4.70561,14.7493
-4.70492,14.8234
-4.70424,14.828
-4.70355,14.7579
-4.70286,14.6097
-4.70217,14.3813
-4.70148,14.0727
-4.70079,13.6861
-4.7001,13.2257
-4.69941,12.6977
-4.69872,12.1109
-4.69803,11.4755
-4.69735,10.8038
-4.69666,10.1091
-4.69597,9.40597
-4.69528,8.7092
-4.69459,8.03367
-4.6939,7.39367
-4.69321,6.8025
-4.69252,6.27185
-4.69183,5.81136
-4.69115,5.42825
-4.69046,5.12693
-4.68977,4.90885
-4.68908,4.77227
-4.68839,4.71231
-4.6877,4.72101
-4.68701,4.78755
-4.68632,4.89865
-4.68563,5.03892
-4.68494,5.19144
-4.68426,5.33841
-4.68357,5.46172
-4.68288,5.54381
-4.68219,5.56827
-4.6815,5.52054
-4.68081,5.38863
-4.68012,5.1637
-4.67943,4.84049
-4.67874,4.41779
-4.67806,3.89861
-4.67737,3.29033
-4.67668,2.60466
-4.67599,1.85737
-4.6753,1.06803
-4.67461,0.259369
-4.67392,-0.543296
-4.67323,-1.31282
-4.67254,-2.02113
-4.67185,-2.64015
-4.67117,-3.14271
-4.67048,-3.50364
-4.66979,-3.70055
-4.6691,-3.71487
-4.66841,-3.53254
-4.66772,-3.14473
-4.66703,-2.54832
-4.66634,-1.74629
-4.66565,-0.74782
-4.66496,0.431694
-4.66428,1.77086
-4.66359,3.24286
-4.6629,4.81593
-4.66221,6.45424
-4.66152,8.11892
-4.66083,9.76902
-4.66014,11.3628
-4.65945,12.8589
-4.65876,14.2178
-4.65808,15.4026
-4.65739,16.3808
-4.6567,17.125
-4.65601,17.6138
-4.65532,17.8329
-4.65463,17.7754
-4.65394,17.4422
-4.65325,16.8422
-4.65256,15.9922
-4.65187,14.9163
-4.65119,13.6456
-4.6505,12.2171
-4.64981,10.6731
-4.64912,9.05946
-4.64843,7.42457
-4.64774,5.81798
-4.64705,4.28878
-4.64636,2.8842
-4.64567,1.64815
-4.64499,0.619832
-4.6443,-0.167433
-4.64361,-0.687315
-4.64292,-0.921253
-4.64223,-0.859231
-4.64154,-0.499954
-4.64085,0.148876
-4.64016,1.07081
-4.63947,2.24108
-4.63878,3.62726
-4.6381,5.19021
-4.63741,6.88527
-4.63672,8.66342
-4.63603,10.4729
-4.63534,12.2608
-4.63465,13.9743
-4.63396,15.5627
-4.63327,16.9786
-4.63258,18.1796
-4.6319,19.1294
-4.63121,19.799
-4.63052,20.1676
-4.62983,20.223
-4.62914,19.9624
-4.62845,19.3922
-4.62776,18.5277
-4.62707,17.3929
-4.62638,16.0197
-4.62569,14.447
-4.62501,12.7193
-4.62432,10.8855
-4.62363,8.99737
-4.62294,7.10828
-4.62225,5.27119
-4.62156,3.53736
-4.62087,1.95469
-4.62018,0.566389
-4.61949,-0.590256
-4.61881,-1.48502
-4.61812,-2.09554
-4.61743,-2.40785
-4.61674,-2.41683
-4.61605,-2.12611
-4.61536,-1.54807
-4.61467,-0.703113
-4.61398,0.380845
-4.61329,1.66945
-4.6126,3.12297
-4.61192,4.69764
-4.61123,6.347
-4.61054,8.02334
-4.60985,9.67927
-4.60916,11.2691
-4.60847,12.7501
-4.60778,14.0842
-4.60709,15.2384
-4.6064,16.1862
-4.60571,16.9084
-4.60503,17.3929
-4.60434,17.6355
-4.60365,17.6399
-4.60296,17.417
-4.60227,16.9845
-4.60158,16.3665
-4.60089,15.5922
-4.6002,14.6948
-4.59951,13.7107
-4.59883,12.6778
-4.59814,11.6344
-4.59745,10.6177
-4.59676,9.66279
-4.59607,8.80138
-4.59538,8.06067
-4.59469,7.46259
-4.594,7.02306
-4.59331,6.75156
-4.59262,6.6508
-4.59194,6.71685
-4.59125,6.9392
-4.59056,7.30131
-4.58987,7.7812
-4.58918,8.35232
-4.58849,8.98447
-4.5878,9.64497
-4.58711,10.2998
-4.58642,10.9149
-4.58574,11.4574
-4.58505,11.8965
-4.58436,12.2052
-4.58367,12.3608
-4.58298,12.346
-4.58229,12.1494
-4.5816,11.7662
-4.58091,11.1981
-4.58022,10.4539
-4.57953,9.54877
-4.57885,8.50416
-4.57816,7.34706
-4.57747,6.10929
-4.57678,4.82645
-4.57609,3.53683
-4.5754,2.28034
-4.57471,1.09709
-4.57402,0.0262418
-4.57333,-0.895285
-4.57265,-1.63402
-4.57196,-2.16103
-4.57127,-2.45286
-4.57058,-2.49235
-4.56989,-2.26928
-4.5692,-1.78075
-4.56851,-1.03136
-4.56782,-0.0332527
-4.56713,1.19423
-4.56644,2.62496
-4.56576,4.22673
-4.56507,5.96206
-4.56438,7.78926
-4.56369,9.66353
-4.563,11.5382
-4.56231,13.366
-4.56162,15.1003
-4.56093,16.6967
-4.56024,18.1137
-4.55955,19.3143
-4.55887,20.2668
-4.55818,20.9456
-4.55749,21.3321
-4.5568,21.4147
-4.55611,21.1898
-4.55542,20.6611
-4.55473,19.8398
-4.55404,18.7443
-4.55335,17.3995
-4.55267,15.8358
-4.55198,14.089
-4.55129,12.1985
-4.5506,10.2064
-4.54991,8.1566
-4.54922,6.09339
-4.54853,4.06031
-4.54784,2.09903
-4.54715,0.24829
-4.54646,-1.45708
-4.54578,-2.98691
-4.54509,-4.31647
-4.5444,-5.42686
-4.54371,-6.30541
-4.54302,-6.94578
-4.54233,-7.34797
-4.54164,-7.51799
-4.54095,-7.46756
-4.54026,-7.21348
-4.53958,-6.77705
-4.53889,-6.18321
-4.5382,-5.45959
-4.53751,-4.63571
-4.53682,-3.742
-4.53613,-2.80872
-4.53544,-1.86518
-4.53475,-0.938779
-4.53406,-0.0543238
-4.53337,0.766821
-4.53269,1.50701
-4.532,2.15303
-4.53131,2.69615
-4.53062,3.13226
-4.52993,3.46193
-4.52924,3.69014
-4.52855,3.82593
-4.52786,3.88199
-4.52717,3.87409
-4.52649,3.82039
-4.5258,3.74079
-4.52511,3.65607
-4.52442,3.58723
-4.52373,3.55461
-4.52304,3.57725
-4.52235,3.67217
-4.52166,3.85374
-4.52097,4.13324
-4.52028,4.51836
-4.5196,5.01304
-4.51891,5.61724
-4.51822,6.32696
-4.51753,7.13431
-4.51684,8.02784
-4.51615,8.99277
-4.51546,10.0115
-4.51477,11.0643
-4.51408,12.1295
-4.51339,13.1847
-4.51271,14.2071
-4.51202,15.1742
-4.51133,16.0648
-4.51064,16.8591
-4.50995,17.5399
-4.50926,18.0925
-4.50857,18.5057
-4.50788,18.7717
-4.50719,18.8864
-4.50651,18.8496
-4.50582,18.6648
-4.50513,18.3394
-4.50444,17.8838
-4.50375,17.3117
-4.50306,16.6392
-4.50237,15.8848
-4.50168,15.068
-4.50099,14.2095
-4.5003,13.3301
-4.49962,12.4503
-4.49893,11.5894
-4.49824,10.7652
-4.49755,9.99352
-4.49686,9.28756
-4.49617,8.6577
-4.49548,8.11118
-4.49479,7.65205
-4.4941,7.28105
-4.49342,6.99571
-4.49273,6.79063
-4.49204,6.65758
-4.49135,6.58606
-4.49066,6.56363
-4.48997,6.57643
-4.48928,6.60977
-4.48859,6.64868
-4.4879,6.67849
-4.48721,6.68538
-4.48653,6.65694
-4.48584,6.58262
-4.48515,6.45418
-4.48446,6.26597
-4.48377,6.01517
-4.48308,5.70203
-4.48239,5.32973
-4.4817,4.90446
-4.48101,4.43515
-4.48033,3.9332
-4.47964,3.41214
-4.47895,2.88714
-4.47826,2.37455
-4.47757,1.89125
-4.47688,1.45416
-4.47619,1.07954
-4.4755,0.782486
-4.47481,0.576305
-4.47412,0.47202
-4.47344,0.477957
-4.47275,0.599337
-4.47206,0.838026
-4.47137,1.19237
-4.47068,1.65717
-4.46999,2.2237
-4.4693,2.87991
-4.46861,3.61073
-4.46792,4.39846
-4.46724,5.22325
-4.46655,6.06363
-4.46586,6.89721
-4.46517,7.70132
-4.46448,8.45362
-4.46379,9.13292
-4.4631,9.71974
-4.46241,10.197
-4.46172,10.5506
-4.46103,10.7698
-4.46035,10.8476
-4.45966,10.7812
-4.45897,10.5721
-4.45828,10.2258
-4.45759,9.75207
-4.4569,9.1647
-4.45621,8.48092
-4.45552,7.72112
-4.45483,6.9082
-4.45414,6.06696
-4.45346,5.22338
-4.45277,4.40387
-4.45208,3.63448
-4.45139,2.94013
-4.4507,2.34387
-4.45001,1.8662
-4.44932,1.52438
-4.44863,1.33196
-4.44794,1.2983
-4.44726,1.42831
-4.44657,1.7222
-4.44588,2.17548
-4.44519,2.77906
-4.4445,3.51945
-4.44381,4.37916
-4.44312,5.33712
-4.44243,6.36935
-4.44174,7.44956
-4.44105,8.54995
-4.44037,9.64198
-4.43968,10.6972
-4.43899,11.688
-4.4383,12.5885
-4.43761,13.3752
-4.43692,14.0278
-4.43623,14.5297
-4.43554,14.8683
-4.43485,15.0355
-4.43417,15.0281
-4.43348,14.8475
-4.43279,14.5001
-4.4321,13.9966
-4.43141,13.352
-4.43072,12.5852
-4.43003,11.7179
-4.42934,10.7749
-4.42865,9.78251
-4.42796,8.76809
-4.42728,7.7594
-4.42659,6.78365
-4.4259,5.86672
-4.42521,5.03253
-4.42452,4.30224
-4.42383,3.69388
-4.42314,3.22167
-4.42245,2.89573
-4.42176,2.72194
-4.42108,2.70174
-4.42039,2.83218
-4.4197,3.10609
-4.41901,3.5124
-4.41832,4.03649
-4.41763,4.66071
-4.41694,5.36492
-4.41625,6.12722
-4.41556,6.92456
-4.41487,7.73352
-4.41419,8.53092
-4.4135,9.29465
-4.41281,10.0042
-4.41212,10.6412
-4.41143,11.1901
-4.41074,11.6386
-4.41005,11.9776
-4.40936,12.2017
-4.40867,12.3094
-4.40798,12.3026
-4.4073,12.1868
-4.40661,11.9708
-4.40592,11.6664
-4.40523,11.2875
-4.40454,10.8503
-4.40385,10.372
-4.40316,9.87075
-4.40247,9.36492
-4.40178,8.87227
-4.4011,8.40959
-4.40041,7.99207
-4.39972,7.63286
-4.39903,7.34266
-4.39834,7.1294
-4.39765,6.99801
-4.39696,6.95035
-4.39627,6.98511
-4.39558,7.09798
-4.39489,7.28177
-4.39421,7.52673
-4.39352,7.82083
-4.39283,8.15031
-4.39214,8.50001
-4.39145,8.85395
-4.39076,9.1959
-4.39007,9.50982
-4.38938,9.7805
-4.38869,9.99395
-4.38801,10.1379
-4.38732,10.2022
-4.38663,10.1791
-4.38594,10.0635
-4.38525,9.85322
-4.38456,9.54891
-4.38387,9.15415
-4.38318,8.67521
-4.38249,8.12105
-4.3818,7.5029
-4.38112,6.83401
-4.38043,6.12925
-4.37974,5.40465
-4.37905,4.67702
-4.37836,3.96335
-4.37767,3.28049
-4.37698,2.64458
-4.37629,2.07064
-4.3756,1.5722
-4.37492,1.16096
-4.37423,0.846409
-4.37354,0.63574
-4.37285,0.533534
-4.37216,0.541812
-4.37147,0.659966
-4.37078,0.884755
-4.37009,1.21054
-4.3694,1.62935
-4.36871,2.13121
-4.36803,2.70433
-4.36734,3.33556
-4.36665,4.01055
-4.36596,4.71425
-4.36527,5.43121
-4.36458,6.14596
-4.36389,6.84336
-4.3632,7.5089
-4.36251,8.12904
-4.36183,8.69144
-4.36114,9.1852
-4.36045,9.60102
-4.35976,9.93139
-4.35907,10.1706
-4.35838,10.3149
-4.35769,10.3624
-4.357,10.3131
-4.35631,10.1687
-4.35562,9.93296
-4.35494,9.61078
-4.35425,9.20877
-4.35356,8.73472
-4.35287,8.19753
-4.35218,7.60703
-4.35149,6.97378
-4.3508,6.3088
-4.35011,5.62356
-4.34942,4.92963
-4.34873,4.23858
-4.34805,3.56184
-4.34736,2.9105
-4.34667,2.29516
-4.34598,1.72582
-4.34529,1.21174
-4.3446,0.761309
-4.34391,0.381967
-4.34322,0.0800669
-4.34253,-0.139159
-4.34185,-0.271749
-4.34116,-0.315053
-4.34047,-0.267699
-4.33978,-0.129812
-4.33909,0.0971373
-4.3384,0.410201
-4.33771,0.805018
-4.33702,1.27586
-4.33633,1.81563
-4.33564,2.41601
-4.33496,3.06752
-4.33427,3.75962
-4.33358,4.48096
-4.33289,5.21943
-4.3322,5.96249
-4.33151,6.6973
-4.33082,7.41098
-4.33013,8.09089
-4.32944,8.72485
-4.32876,9.30141
-4.32807,9.81009
-4.32738,10.2417
-4.32669,10.5884
-4.326,10.8441
-4.32531,11.0046
-4.32462,11.0673
-4.32393,11.0322
-4.32324,10.901
-4.32255,10.6777
-4.32187,10.3681
-4.32118,9.98023
-4.32049,9.52381
-4.3198,9.01012
-4.31911,8.45182
-4.31842,7.86261
-4.31773,7.25698
-4.31704,6.6498
-4.31635,6.056
-4.31567,5.49021
-4.31498,4.96638
-4.31429,4.49745
-4.3136,4.09502
-4.31291,3.76909
-4.31222,3.52769
-4.31153,3.37687
-4.31084,3.32034
-4.31015,3.35955
-4.30946,3.49352
-4.30878,3.719
-4.30809,4.03042
-4.3074,4.42018
-4.30671,4.87876
-4.30602,5.39506
-4.30533,5.95659
-4.30464,6.54997
-4.30395,7.16112
-4.30326,7.77575
-4.30257,8.37973
-4.30189,8.95938
-4.3012,9.50194
-4.30051,9.99582
-4.29982,10.4309
-4.29913,10.799
-4.29844,11.0935
-4.29775,11.3103
-4.29706,11.447
-4.29637,11.5038
-4.29569,11.4828
-4.295,11.3883
-4.29431,11.2263
-4.29362,11.0046
-4.29293,10.7324
-4.29224,10.4202
-4.29155,10.079
-4.29086,9.72067
-4.29017,9.35702
-4.28948,8.9998
-4.2888,8.66028
-4.28811,8.34892
-4.28742,8.07517
-4.28673,7.84722
-4.28604,7.67174
-4.28535,7.55383
-4.28466,7.4969
-4.28397,7.50258
-4.28328,7.57081
-4.2826,7.69981
-4.28191,7.88624
-4.28122,8.12534
-4.28053,8.41105
-4.27984,8.73632
-4.27915,9.09321
-4.27846,9.47324
-4.27777,9.86755
-4.27708,10.2672
-4.27639,10.6634
-4.27571,11.0478
-4.27502,11.4123
-4.27433,11.7499
-4.27364,12.0544
-4.27295,12.3203
-4.27226,12.5434
-4.27157,12.7207
-4.27088,12.85
-4.27019,12.9306
-4.26951,12.9625
-4.26882,12.9467
-4.26813,12.8854
-4.26744,12.7813
-4.26675,12.6377
-4.26606,12.4587
-4.26537,12.2487
-4.26468,12.0123
-4.26399,11.7543
-4.2633,11.4798
-4.26262,11.1935
-4.26193,10.9003
-4.26124,10.6048
-4.26055,10.3114
-4.25986,10.0245
-4.25917,9.74772
-4.25848,9.48489
-4.25779,9.23931
-4.2571,9.01406
-4.25642,8.81195
-4.25573,8.63553
-4.25504,8.4871
-4.25435,8.36864
-4.25366,8.2819
-4.25297,8.22837
-4.25228,8.20922
-4.25159,8.22527
-4.2509,8.27701
-4.25021,8.36447
-4.24953,8.48727
-4.24884,8.64452
-4.24815,8.83473
-4.24746,9.05596
-4.24677,9.30552
-4.24608,9.58015
-4.24539,9.87594
-4.2447,10.1884
-4.24401,10.5124
-4.24332,10.8422
-4.24264,11.1718
-4.24195,11.4946
-4.24126,11.8039
-4.24057,12.0929
-4.23988,12.3546
-4.23919,12.5824
-4.2385,12.77
-4.23781,12.9116
-4.23712,13.0021
-4.23644,13.0372
-4.23575,13.0137
-4.23506,12.9293
-4.23437,12.7832
-4.23368,12.5756
-4.23299,12.3081
-4.2323,11.9837
-4.23161,11.6065
-4.23092,11.182
-4.23023,10.7167
-4.22955,10.2179
-4.22886,9.6939
-4.22817,9.15343
-4.22748,8.6056
-4.22679,8.05962
-4.2261,7.52459
-4.22541,7.00917
-4.22472,6.52142
-4.22403,6.06863
-4.22335,5.65699
-4.22266,5.29147
-4.22197,4.9758
-4.22128,4.71222
-4.22059,4.50153
-4.2199,4.34317
-4.21921,4.23508
-4.21852,4.17388
-4.21783,4.15517
-4.21714,4.17343
-4.21646,4.22251
-4.21577,4.29568
-4.21508,4.38599
-4.21439,4.48648
-4.2137,4.59056
-4.21301,4.6922
-4.21232,4.78616
-4.21163,4.86822
-4.21094,4.93547
-4.21026,4.98627
-4.20957,5.0205
-4.20888,5.03948
-4.20819,5.04608
-4.2075,5.0445
-4.20681,5.04019
-4.20612,5.03975
-4.20543,5.05052
-4.20474,5.08046
-4.20405,5.13775
-4.20337,5.23045
-4.20268,5.36623
-4.20199,5.55195
-4.2013,5.79331
-4.20061,6.09464
-4.19992,6.45841
-4.19923,6.88527
-4.19854,7.37368
-4.19785,7.91984
-4.19716,8.51766
-4.19648,9.15873
-4.19579,9.83258
-4.1951,10.5266
-4.19441,11.2267
-4.19372,11.9171
-4.19303,12.5812
-4.19234,13.2017
-4.19165,13.7611
-4.19096,14.2425
-4.19028,14.6297
-4.18959,14.908
-4.1889,15.0644
-4.18821,15.0885
-4.18752,14.9724
-4.18683,14.7114
-4.18614,14.3041
-4.18545,13.7527
-4.18476,13.0629
